"
                    2021-05-22
                ",Jödinger,我觉得是一个很完整的故事（除了14年在监狱里音讯不通这件事）。仁义再重，重不过政权一纸更迭；拳脚再硬，硬不过时代轻巧变迁。为了义气组成家族，又因为世俗被迫放弃家族。人只有变得弱势了，我们才能看得到他们身上的人权。最后意外get到了磯村的演技，帅哦。,allstar40,推荐
"
                    2021-05-14
                ",孤狼,"去浪漫化的一部黑帮电影，应该是看一部少一部
可以更好，但也不错
可以记录，但也无需惋惜",allstar40,推荐
"
                    2020-12-07
                ",抛开书本,#HIIFF#在海南看到日本新片，尤其心水。以为是无聊的黑帮片。但是绫野刚、尾野真千子、市原隼人每张面孔都充满诱惑。电影横跨时间长，接近一个黑帮家族兴盛和衰败的数十年，牵扯出一桩人性撕扯和家庭悲剧。血性的黑社会江湖人格极具爆破力，几段打斗和情感戏都高潮迭起演绎淋漓。最后一句“原谅我”充满时代嘲讽的嗟叹。,allstar40,推荐
"
                    2021-05-14
                ",荒淫少女朴赞郁,演员音乐拍法都很好,allstar40,推荐
"
                    2021-05-25
                ",水蓝色眼泪💧,后半段影片的气质和表达真的很不错，这种角度以前不是没有影片涉猎，但都没这片拍的深入和有力度。因此虽然前半部分略显套路和粗粝，但整体还是可以4星。,allstar40,推荐
"
                    2021-05-09
                ",まりえってぃ,2.5 前半段與藤井道人過往作品對比起來頗具趣味，要揹負的沉重過去不再是單一的，各個時代有各自的「秘密」，需要埋藏與點破的東西不斷疊加於人物身上，某種意義上也是對失去的二十年的一種不著力描摹。但來到第三個時代，那些早已重複了無數遍的情節又能否承載電話留言之後的關係突進呢？前兩個時代又真的能被輕易視作一個整體嗎？,allstar20,较差
"
                    2021-05-16
                ",超cute侠,跨越三个时间段讲述黑帮的没落史，导演的野心倒是不小，但故事都在套路内，而且没建立好群像，使得挽歌没奏响，其实这不光是一个雅库扎衰败的故事，而是在资本市场不求新求变进而被淘汰的事实，但可惜的是影片对这背后的现实揭露没有深入触及，最后一个年代营造得也过于拖沓和煽情了，绫野刚和矶村勇斗还真是像，用这俩人演绎命运的相似和救赎还挺合适的。,allstar30,还行
"
                    2021-05-25
                ",益暄,"当你拎起我的手，为我疗伤，我真的对你欣喜若狂；
当与你久别重逢，告诉我  告诉我 ，你就是我为之披荆斩棘的力量；
当命运的哀歌奏响，把你推得有多远，就有多爱你。 岩代太郎的配乐简直是喧宾夺主的加分项，该雄浑雄浑、该煽情煽情，就连刚哥和尾野真千子的戏骨表演也显得黯然失色。扣一星，全因过度消耗刚哥的眼泪。",allstar40,推荐
"
                    2021-05-16
                ",开心快乐每一天,阴气太重了，一生（整部）都在蓝灰色中渡过，生的毫无生气。,allstar20,较差
"
                    2021-05-08
                ",kiki204629,绫野刚不容易。,allstar40,推荐
"
                    2021-05-08
                ",阿錐,我真的很想冲着2005年那段以及让尾野和刚再一次演对手戏的选择而给再好一点的评价，毕竟还有依然稳定发挥又无时无刻不在闪光的矶村勇斗。但…… 什么都是差一点，感情戏差一点，黑道没落差一点，情绪落脚点差一点。「现在日本只能拍出这种水平的黑帮片了吗」的不痛不痒感。或许可以找个专业编剧再磨一磨本子的。常田大希倒是真的天赋异禀，主题曲FAMILIA一出来就到位了。,allstar30,还行
"
                    2021-05-11
                ",戴边,对比之下国内中青代演技逊色太多太多了。,allstar40,推荐
"
                    2021-05-11
                ",贾哩哩,天呢 2005年的山本贤治太帅了 和尾野的感情戏略萌 刚妹终于变回刚哥 而电影本身 峰时不够荡气回肠 落时有点生疑是否真至此境地 但藤井道人的镜头还是有点东西 小原被射杀时山本回头的长特写 吊起了观众情绪去感知他眼前的所见 另一个惊艳的特写是最后被山本女儿问我爸是个什么样的人的小翼 矶村勇斗在这部真是精致迷人 时效警察的两位选角有点失败 以及市原隼人给绫野刚做小弟 你说出名真是趁早好吗,allstar40,推荐
"
                    2021-05-25
                ",oozy,以个体的经历带出一部日本黑帮的变化史，从而带出了黑道整改的社会议题，看惯了香港的黑社会，日本黑道显得有其独有的武士精神，少了那些动不动就打打杀杀的戾气，比起香港黑社会的兄弟情义，日本黑道更着重家庭羁绊，就如他们的宗旨，如何做一个真正的男人，“父子”情谊虽然刻画不多，但却能感染到观众，前两部分节奏跟氛围都控制得不错，可惜到了最后一部分随着黑道的衰落，反而显得有点拖沓与煽情。两个同样失去父亲的人，贤治极力阻止小翼走上自己的不归路，最后一幕也算是两人实现了相互救赎。7.8,allstar40,推荐
"
                    2021-05-11
                ",咸鱼撵死猫,亲情，友情，爱情，责任和荣誉，一个男人的成长史，绫野刚已经不是热血高校时那个小变态了,allstar50,力荐
"
                    2021-05-15
                ",z,作为一名学生，你看起来有点老。哈哈哈哈哈哈哈/出狱多了个女儿确实蒙头一棍啊/男人在窗外时，这个男人的正常心里应该是不去碰，我想在监狱里呆了十四年的男人不会不明白这一点（可剧情却事与愿违）。结局是情感冲突的巅峰，在男人被捅的一瞬间，他失语的状态要表现的东西实在太多，我认为他是快乐的，快乐的原因是因为他是被自己的兄弟杀死的，同时也是悲伤的，悲伤的原因同样是他是被自己的兄弟杀死的！,allstar40,推荐
"
                    2021-05-09
                ",峰瑞,日本的黑帮片 有着独特的风格 人物带有很深的原罪感，有些别扭。,allstar30,还行
